AttributeDictionaryAttributeAndAllowedValues
Identifier,Type,AttributeType,Name,UnitOfMeasure,sequence,Displayable,Comparable,StoreDisplay,LanguageId
MarketingCopyTrain,STRING,2,Marketing Copy,,0,1,0,,-1
DisclaimerTrain,STRING,2,Disclaimer Train,,0,1,0,,-1
MarketingCopyName,STRING,2,Marketing Copy Name,,0,1,0,,-1
MarketingCopyNumber,STRING,2,Marketing Copy Number,,0,1,0,,-1
DisclaimerName,STRING,2,Disclaimer Name,,0,1,0,,-1
DisclaimerNumber,STRING,2,Disclaimer Number,,0,1,0,,-1
Surcharge_Value,FLOAT,2,Surcharge,,0,1,0,,-1
AssemblyInstructionsLink,STRING,2,AssemblyInstructionsLink,,0,1,0,,-1
Location,STRING,1,Location,,0,1,0,,-1
isGiftWrapAtHeaderLevel,STRING,2,isGiftWrapAtHeaderLevel,,0,1,0,,-1
BVCategory,STRING,2,BVCategory,,0,1,0,,-1
BVFamily,STRING,2,BVFamily,,0,1,0,,-1
excludeStandardShipping,STRING,1,Exclude Standard Shipping Calculation,,0,1,0,,-1
DecoLocation,STRING,2,Deco Location,,0,1,0,,-1
LayerNumber,STRING,2,Layer Number,,0,1,0,,-1
Boy1HairSkinTone,STRING,1,Boy 1,,0,1,0,,-1
Boy2HairSkinTone,STRING,1,Boy 2,,0,1,0,,-1
FLASH_SALE_START_TIME,STRING,2,FLASH_SALE_START_TIME,,0,1,0,,-1
FLASH_SALE_END_TIME,STRING,2,FLASH_SALE_END_TIME,,0,1,0,,-1
PLAgoogleprodcat,STRING,2,Google Product Category,,0,1,0,,-1
syncPricesManually,STRING,1,syncPricesManually,,0,1,0,,-1
PLABundle,STRING,2,Bundle Sku,,0,1,0,,-1
PLAgooglesize,STRING,1,Google Size,,0,1,0,,-1
PLAgooglecolor,STRING,1,Google Color,,0,1,0,,-1
PLAgoogleitemid,STRING,2,Google Item Group ID,,0,1,0,,-1
PLAgooglegender,STRING,1,Google Gender,,0,1,0,,-1
PLAgoogleage,STRING,1,Google Age Group,,0,1,0,,-1
AGCategory,STRING,1,Product Type,,2,1,0,,-1
BookCategory,STRING,1,Category,,0,1,0,,-1
FACategory,STRING,1,Category,,0,1,0,,-1
DisplayRetailInv,STRING,1,Display Retail Inventory Lookup,,0,1,0,,-1
isRetailInventoryCheckEnabled,STRING,1,isRetailInventoryCheckEnabled,,0,1,0,,-1
PLAgooglegtin,STRING,2,Google GTIN,,0,1,0,,-1
BV_FE_FAMILY,STRING,2,BV_FE_FAMILY,,0,1,0,,-1
BV_FE_EXPAND,STRING,2,BV_FE_EXPAND,,0,1,0,,-1
SafetyMessage,STRING,2,Safety Message,,0,1,0,,-1
addOn_assoc_type,STRING,1,addOn_assoc_type,,0,1,0,,-1
Girl1HairSkinTone,STRING,1,Girl 1,,0,1,0,,-1
